Region,Year,0 to 10 km,>10 to 20 km,>20 to 50km,Population Density,Total Road Area,Total Greenery Area,Public Transport Travel,Private Transport Travel
Drenthe,2006,-1.0,-1.0,-1.0,106.0,483.0,10.0,-1.0,-1.0
Drenthe,2007,-1.0,-1.0,-1.0,105.0,-1.0,-1.0,-1.0,-1.0
Drenthe,2008,-1.0,-1.0,-1.0,105.0,484.0,10.0,-1.0,-1.0
Drenthe,2009,-1.0,-1.0,-1.0,105.0,-1.0,-1.0,-1.0,-1.0
Drenthe,2010,-1.0,-1.0,-1.0,105.0,491.0,8.0,-1.0,-1.0
Drenthe,2011,-1.0,-1.0,-1.0,105.0,-1.0,-1.0,-1.0,-1.0
Drenthe,2012,-1.0,-1.0,-1.0,106.0,491.0,8.0,-1.0,-1.0
Drenthe,2013,0.031634446397188,0.1265377855887522,0.8418277680140598,106.0,-1.0,-1.0,-1.0,-1.0
Drenthe,2014,-1.0,-1.0,-1.0,105.0,-1.0,-1.0,-1.0,-1.0
Drenthe,2015,-1.0,-1.0,-1.0,105.0,495.0,8.0,-1.0,-1.0
Drenthe,2016,-1.0,-1.0,-1.0,106.0,-1.0,-1.0,-1.0,-1.0
Drenthe,2017,0.0323084940072954,0.1235018238665971,0.8441896821261073,106.0,-1.0,-1.0,-1.0,-1.0
Drenthe,2018,0.0314242270653826,0.1206284845413076,0.8479472883933097,107.0,-1.0,-1.0,-1.0,3136.570000000001
Drenthe,2019,0.0329614604462474,0.1232251521298174,0.8438133874239351,107.0,-1.0,-1.0,-1.0,2989.6799999999994
Drenthe,2020,0.0313879352623835,0.1201569396763119,0.8484551250613045,108.0,-1.0,-1.0,-1.0,2353.425000000001
Drenthe,2021,-1.0,-1.0,-1.0,109.0,-1.0,-1.0,-1.0,2484.3100000000013
Drenthe,2022,-1.0,-1.0,-1.0,109.0,-1.0,-1.0,-1.0,2537.94
Drenthe,2023,-1.0,-1.0,-1.0,110.0,-1.0,-1.0,-1.0,2793.1499999999983
GM0738,2006,-1.0,-1.0,-1.0,242.0,161.0,2.0,-1.0,-1.0
GM0738,2007,-1.0,-1.0,-1.0,244.0,-1.0,-1.0,-1.0,-1.0
GM0738,2008,-1.0,-1.0,-1.0,246.0,163.0,2.0,-1.0,-1.0
GM0738,2009,-1.0,-1.0,-1.0,249.0,-1.0,-1.0,-1.0,-1.0
GM0738,2010,-1.0,-1.0,-1.0,250.0,160.0,2.0,-1.0,-1.0
GM0738,2011,-1.0,-1.0,-1.0,252.0,-1.0,-1.0,-1.0,-1.0
GM0738,2012,-1.0,-1.0,-1.0,253.0,158.0,4.0,-1.0,-1.0
GM0738,2013,0.0119682580980876,0.0950956159750227,0.8929361259268896,253.0,-1.0,-1.0,-1.0,-1.0
GM0738,2014,-1.0,-1.0,-1.0,255.0,-1.0,-1.0,-1.0,-1.0
GM0738,2015,-1.0,-1.0,-1.0,256.0,150.0,4.0,-1.0,-1.0
GM0738,2016,-1.0,-1.0,-1.0,259.0,-1.0,-1.0,-1.0,-1.0
GM0738,2017,0.0113689639006094,0.0928270042194092,0.8958040318799813,259.0,-1.0,-1.0,-1.0,-1.0
GM0738,2018,0.0113727742676622,0.092360712234348,0.8962665134979897,261.0,-1.0,-1.0,-1.0,-1.0
GM0738,2019,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
GM0738,2020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
GM0738,2021,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
GM0738,2022,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
GM0738,2023,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Noord-Holland,2006,-1.0,-1.0,-1.0,1890.0,363.0,191.0,-1.0,-1.0
Noord-Holland,2007,-1.0,-1.0,-1.0,1905.0,-1.0,-1.0,-1.0,-1.0
Noord-Holland,2008,-1.0,-1.0,-1.0,1925.0,369.0,187.0,-1.0,-1.0
Noord-Holland,2009,-1.0,-1.0,-1.0,1950.0,-1.0,-1.0,-1.0,-1.0
Noord-Holland,2010,-1.0,-1.0,-1.0,1968.0,349.0,181.0,-1.0,-1.0
Noord-Holland,2011,-1.0,-1.0,-1.0,1989.0,-1.0,-1.0,-1.0,-1.0
Noord-Holland,2012,-1.0,-1.0,-1.0,2007.0,352.0,200.0,-1.0,-1.0
Noord-Holland,2013,0.0669475655430711,0.2692616372391653,0.6637907972177635,2024.0,-1.0,-1.0,-1.0,-1.0
Noord-Holland,2014,-1.0,-1.0,-1.0,2037.0,-1.0,-1.0,-1.0,-1.0
Noord-Holland,2015,-1.0,-1.0,-1.0,2048.0,347.0,200.0,-1.0,-1.0
Noord-Holland,2016,-1.0,-1.0,-1.0,2064.0,-1.0,-1.0,-1.0,-1.0
Noord-Holland,2017,0.0656244206883766,0.2641043069888154,0.6702712723228078,2080.0,-1.0,-1.0,-1.0,-1.0
Noord-Holland,2018,0.0636292223095051,0.2724635929663423,0.6639071847241526,2097.0,-1.0,-1.0,-1.0,-1.0
Noord-Holland,2019,0.0643628256277869,0.2759915512790424,0.6596456230931705,2110.0,-1.0,-1.0,-1.0,-1.0
Noord-Holland,2020,0.0659334397082288,0.2636767722817414,0.6703897880100296,2123.0,-1.0,-1.0,-1.0,-1.0
Noord-Holland,2021,-1.0,-1.0,-1.0,2124.0,-1.0,-1.0,-1.0,-1.0
Noord-Holland,2022,-1.0,-1.0,-1.0,2131.0,-1.0,-1.0,-1.0,-1.0
Noord-Holland,2023,-1.0,-1.0,-1.0,2165.0,-1.0,-1.0,-1.0,-1.0
Gelderland,2006,-1.0,-1.0,-1.0,1139.0,153.0,125.0,-1.0,-1.0
Gelderland,2007,-1.0,-1.0,-1.0,1139.0,-1.0,-1.0,-1.0,-1.0
Gelderland,2008,-1.0,-1.0,-1.0,1142.0,152.0,120.0,-1.0,-1.0
Gelderland,2009,-1.0,-1.0,-1.0,1147.0,-1.0,-1.0,-1.0,-1.0
Gelderland,2010,-1.0,-1.0,-1.0,1145.0,154.0,114.0,-1.0,-1.0
Gelderland,2011,-1.0,-1.0,-1.0,1149.0,-1.0,-1.0,-1.0,-1.0
Gelderland,2012,-1.0,-1.0,-1.0,1150.0,151.0,110.0,-1.0,-1.0
Gelderland,2013,0.0412054120541205,0.0928659286592865,0.8659286592865928,1153.0,-1.0,-1.0,-1.0,-1.0
Gelderland,2014,-1.0,-1.0,-1.0,1151.0,-1.0,-1.0,-1.0,-1.0
Gelderland,2015,-1.0,-1.0,-1.0,1143.0,152.0,111.0,-1.0,-1.0
Gelderland,2016,-1.0,-1.0,-1.0,1147.0,-1.0,-1.0,-1.0,-1.0
Gelderland,2017,0.0347826086956521,0.0934782608695652,0.8717391304347827,1156.0,-1.0,-1.0,-1.0,-1.0
Gelderland,2018,0.0383771929824561,0.1008771929824561,0.8607456140350876,1161.0,-1.0,-1.0,184.4899999999999,3022.2550000000037
Gelderland,2019,0.0376226826608506,0.1003271537622682,0.8620501635768812,1163.0,-1.0,-1.0,173.4849999999999,3003.1900000000032
Gelderland,2020,0.0384,0.1023999999999999,0.8592,1170.0,-1.0,-1.0,60.65999999999999,2443.1500000000037
Gelderland,2021,-1.0,-1.0,-1.0,1175.0,-1.0,-1.0,60.16499999999999,2541.4550000000017
Gelderland,2022,-1.0,-1.0,-1.0,1181.0,-1.0,-1.0,127.85000000000002,2780.080000000002
Gelderland,2023,-1.0,-1.0,-1.0,1186.0,-1.0,-1.0,150.91999999999996,2908.9700000000034
GM0480,2006,-1.0,-1.0,-1.0,464.0,54.0,6.0,-1.0,-1.0
GM0480,2007,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
GM0480,2008,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
