"Gebieden in Nederland 2021"
""
"","Subject"
"","Codes en namen van gemeenten|Code","Codes en namen van gemeenten|Naam","Codes en namen van gemeenten|Sortering naam","Lokaliseringen van gemeenten|Arbeidsmarktregio's|Code","Lokaliseringen van gemeenten|Arbeidsmarktregio's|Naam","Lokaliseringen van gemeenten|Arrondissementen (rechtsgebieden)|Code","Lokaliseringen van gemeenten|Arrondissementen (rechtsgebieden)|Naam","Lokaliseringen van gemeenten|COROP-gebieden|Code","Lokaliseringen van gemeenten|COROP-gebieden|Naam","Lokaliseringen van gemeenten|COROP-subgebieden|Code","Lokaliseringen van gemeenten|COROP-subgebieden|Naam","Lokaliseringen van gemeenten|COROP-plusgebieden|Code","Lokaliseringen van gemeenten|COROP-plusgebieden|Naam","Lokaliseringen van gemeenten|GGD-regio's|Code","Lokaliseringen van gemeenten|GGD-regio's|Naam","Lokaliseringen van gemeenten|Jeugdregio's|Code","Lokaliseringen van gemeenten|Jeugdregio's|Naam","Lokaliseringen van gemeenten|Kamer van Koophandel|Code","Lokaliseringen van gemeenten|Kamer van Koophandel|Naam","Lokaliseringen van gemeenten|Landbouwgebieden|Code","Lokaliseringen van gemeenten|Landbouwgebieden|Naam","Lokaliseringen van gemeenten|Landbouwgebieden (groepen)|Code","Lokaliseringen van gemeenten|Landbouwgebieden (groepen)|Naam","Lokaliseringen van gemeenten|Landsdelen|Code","Lokaliseringen van gemeenten|Landsdelen|Naam","Lokaliseringen van gemeenten|Provincies|Code","Lokaliseringen van gemeenten|Provincies|Naam","Lokaliseringen van gemeenten|Regionale eenheden|Code","Lokaliseringen van gemeenten|Regionale eenheden|Naam","Lokaliseringen van gemeenten|Regionale Energiestrategie regio’s|Code","Lokaliseringen van gemeenten|Regionale Energiestrategie regio’s|Naam","Lokaliseringen van gemeenten|Regionale Meld- en Coördinatiepunten|Code","Lokaliseringen van gemeenten|Regionale Meld- en Coördinatiepunten|Naam","Lokaliseringen van gemeenten|RegioPlus-arbeidsmarktregio's|Code","Lokaliseringen van gemeenten|RegioPlus-arbeidsmarktregio's|Naam","Lokaliseringen van gemeenten|Ressorten (rechtsgebieden)|Code","Lokaliseringen van gemeenten|Ressorten (rechtsgebieden)|Naam","Lokaliseringen van gemeenten|SubRES-regio’s|Code","Lokaliseringen van gemeenten|SubRES-regio’s|Naam","Lokaliseringen van gemeenten|Toeristengebieden|Code","Lokaliseringen van gemeenten|Toeristengebieden|Naam","Lokaliseringen van gemeenten|Veilig Thuis Regio's|Code","Lokaliseringen van gemeenten|Veilig Thuis Regio's|Naam","Lokaliseringen van gemeenten|Veiligheidsregio's|Code","Lokaliseringen van gemeenten|Veiligheidsregio's|Naam","Lokaliseringen van gemeenten|Zorgkantoorregio's|Code","Lokaliseringen van gemeenten|Zorgkantoorregio's|Naam","Grootte en stedelijkheid van gemeenten|Gemeentegrootte|Code","Grootte en stedelijkheid van gemeenten|Gemeentegrootte|Omschrijving","Grootte en stedelijkheid van gemeenten|Stedelijkheid|Code","Grootte en stedelijkheid van gemeenten|Stedelijkheid|Omschrijving","Statistische gegevens|Inwonertal","Statistische gegevens|Omgevingsadressendichtheid"
"Regions","code","name","name","code","name","code","name","code","name","code","name","code","name","code","name","code","name","code","name","code","name","code","name","code","name","code","name","code","name","code","name","code","name","code","name","code","name","code","name","code","name","code","name","code","name","code","name","code","Description","code","Description","number","per km2"
"Aa and Hunze","GM1680","AaandHunze","AaandHunze","AM01","Groningen","AR05","NorthernNetherlands","CR07","NorthDrenthe","CS070","NorthDrenthe","CP0700","NorthDrenthe","GG0706","MunicipalHealthServiceDrenthe","JZ04","Drenthe","KK42","North","LB2205","DrenthePeatColoniesandHondsrug","LG02","PeatcoloniesandOldambt","LD01","NorthernNetherlands","PV22","Drenthe","RE01","NorthernNetherlands","ES03","Drenthe","MC07","NorthandCentralDrenthe","RA0102","Drenthe","RT12","Arnhem-LeeuwardenCourtofAppeal","ET0301","Drenthe","TR12","Groningen,FrisianandDrenthesandysoils","VT02","Drenthe","VR03","Drenthe","ZK06","Drenthe","4","20,000to50,000inhabitants","5","Non-urban","25399","281"
"Aalsmeer","GM0358","Aalsmeer","Aalsmeer","AM18","GreaterAmsterdam","AR01","Amsterdam","CR23","GreaterAmsterdam","CS232","OtherGreaterAmsterdam","CP2323","Haarlemmermeerandsurroundings","GG3406","GGDAmsterdam","JZ13","Amsterdam-Amstelland","KK41","Northwest","LB2703","AmstellandandAalsmeer","LG07","WestHolland","LD03","WestNetherlands","PV27","NorthHolland","RE05","Amsterdam","ES16","NorthHollandSouth","MC21","AmsterdamAgglomeration","RA0717","Amstelland,KennemerlandandMeerlanden","RT11","AmsterdamCourtofAppeal","ET1606","Amstelland","TR06","Dutch-Utrechtlakes","VT01","Amsterdam-Amstelland","VR13","Amsterdam-Amstelland","ZK01","AmstellandandDeMeerlanden","4","20,000to50,000inhabitants","4","Notveryurban","31991","936"
"Aalten","GM0197","Aalten","Aalten","AM09","Achterhoek","AR03","Gelderland","CR14","Achterhoek","CS140","Achterhoek","CP1400","Achterhoek","GG1413","GGDNorthandEastGelderland","JZ25","Achterhoek","KK43","East","LB2508","Achterhoek","LG04","EasternLivestockFarmingArea","LD02","EastNetherlands","PV25","Gelderland","RE02","EastNetherlands","ES07","Achterhoek","MC13","Achterhoek","RA0207","Achterhoek","RT12","Arnhem-LeeuwardenCourtofAppeal","ET0701","Achterhoek","TR10","Achterhoek","VT14","NorthandEastGelderland","VR06","NorthandEastGelderland","ZK04","Arnhem","4","20,000to50,000inhabitants","4","Notveryurban","27120","774"
"Achtkarspelen","GM0059","Achtkarspelen","Achtkarspelen","AM02","Friesland","AR05","NorthernNetherlands","CR04","NorthFriesland","CS040","NorthFriesland","CP0400","NorthFriesland","GG7206","GGDFriesland","JZ02","Friesland(Fryslân)","KK42","North","LB2103","TheWoods","LG03","NorthernMeadowArea","LD01","NorthernNetherlands","PV21","Friesland","RE01","NorthernNetherlands","ES02","Friesland","MC06","Friesland-East","RA0103","Friesland","RT12","Arnhem-LeeuwardenCourtofAppeal","ET0201","Friesland","TR17","OtherNetherlands","VT04","Friesland","VR02","Friesland","ZK08","Friesland","4","20,000to50,000inhabitants","5","Non-urban","27,900","429"
"Alblasserdam","GM0482","Alblasserdam","Alblasserdam","AM23","Drechtsteden","AR08","Rotterdam","CR30","SoutheastSouthHolland","CS300","SoutheastSouthHolland","CP3002","OtherSoutheastSouthHolland","GG4816","Health&YouthServiceZHZ","JZ31","SouthHollandSouth","KK45","Southwest","LB2807","AlblasserwaardandVijfherenlanden","LG09","Dutch/UtrechtMeadowArea","LD03","WestNetherlands","PV28","SouthHolland","RE07","Rotterdam","ES18","Drechtsteden","MC30","SouthHolland-South","RA1121","SouthHollandSouth","RT13","TheHagueCourtofAppeal","ET1801","Drechtsteden","TR17","OtherNetherlands","VT24","SouthHolland-South","VR18","SouthHolland-South","ZK24","Valuesland","4","20,000to50,000inhabitants","2","Stronglyurban","20136","1527"
"Albrandswaard","GM0613","Albrandswaard","Albrandswaard","AM22","Rhineestuary","AR08","Rotterdam","CR29","GreaterRhineEstuary","CS291","Rhineestuary","CP2910","Rhineestuary","GG4607","MunicipalHealthServiceRotterdam-Rijnmond","JZ29","Rhineestuary","KK45","Southwest","LB2802","Rotterdamandsurroundings","LG07","WestHolland","LD03","WestNetherlands","PV28","SouthHolland","RE07","Rotterdam","ES23","Rotterdam/TheHague","MC29","Rhineestuary","RA0919","Rhineestuary","RT13","TheHagueCourtofAppeal","ET2301","Rotterdam/TheHague","TR04","Deltaarea","VT18","Rotterdam-Rijnmond","VR17","Rotterdam-Rijnmond","ZK29","SouthHollandIslands","4","20,000to50,000inhabitants","3","Moderatelyurban","25814","1038"
"Alkmaar","GM0361","Alkmaar","Alkmaar","AM15","NorthHollandNorth","AR02","NorthHolland","CR19","Alkmaarandsurroundings","CS190","Alkmaarandsurroundings","CP1900","Alkmaarandsurroundings","GG2707","MunicipalHealthServiceHollands-Noorden","JZ06","Alkmaar(NorthKennemerland)","KK41","Northwest","LB2706","WaterlandandNorthHollandPolders","LG08","WaterlandandPolders","LD03","WestNetherlands","PV27","NorthHolland","RE04","NorthHolland","ES15","NorthHollandNorth","MC24","NorthKennemerland","RA0614","NorthHollandNorth","RT11","AmsterdamCourtofAppeal","ET1502","Alkmaarregion","TR17","OtherNetherlands","VT17","NorthHollandNorth","VR10","NorthHollandNorth","ZK18","NorthHollandNorth","6","100,000to150,000inhabitants","2","Stronglyurban","109896","2283"
"Almelo","GM0141","Almelo","Almelo","AM05","Twente","AR06","Overijssel","CR12","Twente","CS120","Twente","CP1200","Twente","GG1106","GGDTwente","JZ14","Twente","KK43","East","LB2303","Twente","LG04","EasternLivestockFarmingArea","LD02","EastNetherlands","PV23","Overijssel","RE02","EastNetherlands","ES04","Twente","MC12","Twente","RA0205","Twente","RT12","Arnhem-LeeuwardenCourtofAppeal","ET0401","Twente","TR11","Twente,SallandandVechtregion","VT19","Twente","VR05","Twente","ZK22","Twente","5","50,000to100,000inhabitants","2","Stronglyurban","73132","1606"
"Almere","GM0034","Almere","Almere","AM11","Flevoland","AR04","CentralNetherlands","CR40","Flevoland","CS400","Flevoland","CP4001","Almere","GG2209","GGDFlevoland","JZ08","Flevoland","KK41","Northwest","LB2402","SouthernIJsselmeerpolders","LG06","IJsselmeerpolders","LD02","EastNetherlands","PV24","Flevoland","RE03","CentralNetherlands","ES06","Flevoland","MC18","Flevoland","RA0410","Flevoland","RT12","Arnhem-LeeuwardenCourtofAppeal","ET0601","Flevoland","TR03","IJsselmeercoast","VT03","Flevoland","VR25","Flevoland","ZK21","TheGooi","7","150,000to250,000inhabitants","2","Stronglyurban","214715","1616"
