ID,Regions,Periods,MainRoad_4,ParkAndPublicGarden_20
927,GM1680,1996JJ00,,
928,GM1680,2000JJ00,585,21
929,GM1680,2003JJ00,583,25
930,GM1680,2006JJ00,581,35
931,GM1680,2008JJ00,581,34
932,GM1680,2010JJ00,606,30
933,GM1680,2012JJ00,604,30
934,GM1680,2015JJ00,609,26
935,GM1680,2017JJ00,597,29
936,GM0738,1996JJ00,162,2
937,GM0738,2000JJ00,164,2
938,GM0738,2003JJ00,161,2
939,GM0738,2006JJ00,161,2
940,GM0738,2008JJ00,163,2
941,GM0738,2010JJ00,160,2
942,GM0738,2012JJ00,158,4
943,GM0738,2015JJ00,150,4
944,GM0738,2017JJ00,148,4
945,GM0358,1996JJ00,88,20
946,GM0358,2000JJ00,88,21
947,GM0358,2003JJ00,84,40
948,GM0358,2006JJ00,84,36
949,GM0358,2008JJ00,86,35
950,GM0358,2010JJ00,84,32
951,GM0358,2012JJ00,83,32
952,GM0358,2015JJ00,90,47
953,GM0358,2017JJ00,93,32
954,GM0197,1996JJ00,247,24
955,GM0197,2000JJ00,251,28
956,GM0197,2003JJ00,254,26
957,GM0197,2006JJ00,297,36
958,GM0197,2008JJ00,297,36
959,GM0197,2010JJ00,301,40
960,GM0197,2012JJ00,291,36
961,GM0197,2015JJ00,289,41
962,GM0197,2017JJ00,287,43
963,GM0480,1996JJ00,50,5
964,GM0480,2000JJ00,54,5
965,GM0480,2003JJ00,53,6
966,GM0480,2006JJ00,54,6
967,GM0480,2008JJ00,,
968,GM0480,2010JJ00,,
969,GM0480,2012JJ00,,
970,GM0480,2015JJ00,,
971,GM0480,2017JJ00,,
972,GM0739,1996JJ00,43,4
973,GM0739,2000JJ00,,
974,GM0739,2003JJ00,,
975,GM0739,2006JJ00,,
976,GM0739,2008JJ00,,
977,GM0739,2010JJ00,,
978,GM0739,2012JJ00,,
979,GM0739,2015JJ00,,
980,GM0739,2017JJ00,,
981,GM0305,1996JJ00,96,4
982,GM0305,2000JJ00,100,4
983,GM0305,2003JJ00,101,5
984,GM0305,2006JJ00,99,6
985,GM0305,2008JJ00,106,6
986,GM0305,2010JJ00,101,6
987,GM0305,2012JJ00,,
988,GM0305,2015JJ00,,
989,GM0305,2017JJ00,,
990,GM0059,1996JJ00,209,13
991,GM0059,2000JJ00,217,13
992,GM0059,2003JJ00,215,17
993,GM0059,2006JJ00,225,15
994,GM0059,2008JJ00,225,18
995,GM0059,2010JJ00,234,18
996,GM0059,2012JJ00,227,19
997,GM0059,2015JJ00,234,18
998,GM0059,2017JJ00,243,18
999,GM0360,1996JJ00,35,0
1000,GM0360,2000JJ00,35,0
1001,GM0360,2003JJ00,,
1002,GM0360,2006JJ00,,
1003,GM0360,2008JJ00,,
1004,GM0360,2010JJ00,,
1005,GM0360,2012JJ00,,
1006,GM0360,2015JJ00,,
1007,GM0360,2017JJ00,,
1008,GM0482,1996JJ00,55,9
1009,GM0482,2000JJ00,54,9
1010,GM0482,2003JJ00,53,26
1011,GM0482,2006JJ00,59,26
1012,GM0482,2008JJ00,60,26
1013,GM0482,2010JJ00,62,26
1014,GM0482,2012JJ00,63,25
1015,GM0482,2015JJ00,63,25
1016,GM0482,2017JJ00,60,23
1017,GM0613,1996JJ00,91,12
1018,GM0613,2000JJ00,93,12
1019,GM0613,2003JJ00,91,10
1020,GM0613,2006JJ00,94,10
1021,GM0613,2008JJ00,93,13
1022,GM0613,2010JJ00,92,27
1023,GM0613,2012JJ00,85,31
1024,GM0613,2015JJ00,92,50
1025,GM0613,2017JJ00,91,59
1026,GM0483,1996JJ00,106,1
1027,GM0483,2000JJ00,104,1
1028,GM0483,2003JJ00,99,3
1029,GM0483,2006JJ00,136,1
1030,GM0483,2008JJ00,131,1
1031,GM0483,2010JJ00,,
1032,GM0483,2012JJ00,,
1033,GM0483,2015JJ00,,
1034,GM0483,2017JJ00,,
1035,GM0361,1996JJ00,162,139
1036,GM0361,2000JJ00,171,165
1037,GM0361,2003JJ00,168,188
1038,GM0361,2006JJ00,178,193
1039,GM0361,2008JJ00,182,203
1040,GM0361,2010JJ00,194,202
1041,GM0361,2012JJ00,193,217
1042,GM0361,2015JJ00,454,228
1043,GM0361,2017JJ00,436,238
1044,GM0141,1996JJ00,147,113
1045,GM0141,2000JJ00,158,129
1046,GM0141,2003JJ00,301,153
1047,GM0141,2006JJ00,303,150
1048,GM0141,2008JJ00,371,149
1049,GM0141,2010JJ00,374,145
1050,GM0141,2012JJ00,375,145
1051,GM0141,2015JJ00,371,147
1052,GM0141,2017JJ00,364,159
1053,GM0034,1996JJ00,595,501
1054,GM0034,2000JJ00,647,707
1055,GM0034,2003JJ00,659,740
1056,GM0034,2006JJ00,655,766
1057,GM0034,2008JJ00,650,855
1058,GM0034,2010JJ00,649,813
1059,GM0034,2012JJ00,649,815
1060,GM0034,2015JJ00,634,890
1061,GM0034,2017JJ00,653,937
1062,GM0484,1996JJ00,160,139
1063,GM0484,2000JJ00,177,147
1064,GM0484,2003JJ00,182,239
1065,GM0484,2006JJ00,199,218
1066,GM0484,2008JJ00,200,217
1067,GM0484,2010JJ00,195,221
1068,GM0484,2012JJ00,195,224
