ID,RegioS,Perioden,Bevolkingsdichtheid_57
1767,GM1680,1995JJ00,
1768,GM1680,1996JJ00,
1769,GM1680,1997JJ00,
1770,GM1680,1998JJ00,89
1771,GM1680,1999JJ00,89
1772,GM1680,2000JJ00,89
1773,GM1680,2001JJ00,91
1774,GM1680,2002JJ00,92
1775,GM1680,2003JJ00,91
1776,GM1680,2004JJ00,91
1777,GM1680,2005JJ00,91
1778,GM1680,2006JJ00,92
1779,GM1680,2007JJ00,92
1780,GM1680,2008JJ00,92
1781,GM1680,2009JJ00,93
1782,GM1680,2010JJ00,92
1783,GM1680,2011JJ00,93
1784,GM1680,2012JJ00,93
1785,GM1680,2013JJ00,92
1786,GM1680,2014JJ00,92
1787,GM1680,2015JJ00,91
1788,GM1680,2016JJ00,91
1789,GM1680,2017JJ00,92
1790,GM1680,2018JJ00,92
1791,GM1680,2019JJ00,92
1792,GM1680,2020JJ00,92
1793,GM1680,2021JJ00,92
1794,GM1680,2022JJ00,93
1795,GM1680,2023JJ00,93
1796,GM1680,2024JJ00,94
1797,GM1680,2025JJ00,94
1798,GM0738,1995JJ00,222
1799,GM0738,1996JJ00,222
1800,GM0738,1997JJ00,225
1801,GM0738,1998JJ00,229
1802,GM0738,1999JJ00,232
1803,GM0738,2000JJ00,233
1804,GM0738,2001JJ00,236
1805,GM0738,2002JJ00,238
1806,GM0738,2003JJ00,240
1807,GM0738,2004JJ00,242
1808,GM0738,2005JJ00,241
1809,GM0738,2006JJ00,242
1810,GM0738,2007JJ00,244
1811,GM0738,2008JJ00,246
1812,GM0738,2009JJ00,249
1813,GM0738,2010JJ00,250
1814,GM0738,2011JJ00,252
1815,GM0738,2012JJ00,253
1816,GM0738,2013JJ00,253
1817,GM0738,2014JJ00,255
1818,GM0738,2015JJ00,256
1819,GM0738,2016JJ00,259
1820,GM0738,2017JJ00,259
1821,GM0738,2018JJ00,261
1822,GM0738,2019JJ00,
1823,GM0738,2020JJ00,
1824,GM0738,2021JJ00,
1825,GM0738,2022JJ00,
1826,GM0738,2023JJ00,
1827,GM0738,2024JJ00,
1828,GM0738,2025JJ00,
1829,GM0358,1995JJ00,965
1830,GM0358,1996JJ00,973
1831,GM0358,1997JJ00,974
1832,GM0358,1998JJ00,988
1833,GM0358,1999JJ00,984
1834,GM0358,2000JJ00,984
1835,GM0358,2001JJ00,993
1836,GM0358,2002JJ00,1057
1837,GM0358,2003JJ00,1106
1838,GM0358,2004JJ00,1109
1839,GM0358,2005JJ00,1128
1840,GM0358,2006JJ00,1173
1841,GM0358,2007JJ00,1216
1842,GM0358,2008JJ00,1282
1843,GM0358,2009JJ00,1367
1844,GM0358,2010JJ00,1425
1845,GM0358,2011JJ00,1477
1846,GM0358,2012JJ00,1486
1847,GM0358,2013JJ00,1501
1848,GM0358,2014JJ00,1508
1849,GM0358,2015JJ00,1524
1850,GM0358,2016JJ00,1555
1851,GM0358,2017JJ00,1559
1852,GM0358,2018JJ00,1566
1853,GM0358,2019JJ00,1577
1854,GM0358,2020JJ00,1584
1855,GM0358,2021JJ00,1590
1856,GM0358,2022JJ00,1615
1857,GM0358,2023JJ00,1645
1858,GM0358,2024JJ00,1656
1859,GM0358,2025JJ00,1654
