NL01482,
NL01483,
NL01485,Rotterdam-Hoogvliet,GM0599
NL01487,Rotterdam-Pleinweg,GM0599
NL01488,Rotterdam-Zwartewaalstraat,GM0599
NL01489,Ridderkerk-A16, GM0597
NL01491,Overschie-A13
NL01494,Schiedam-A.Arienstraat,GM0606
NL01495,Maassluis-Kwartellaan,GM0556
NL01496,Rotterdam-HvHolland,GM0599
NL01913,Sluiskil-Stroodorpestraat
NL10131,Vredepeel-Vredeweg
NL10136,Heerlen-Looierstraat,GM0917
NL10138,Heerlen-Jamboreepad,GM0917
NL10230,Biest Houtakker-Biestsestraat
NL10240,Breda-Tilburgseweg,GM0758
NL10241,Breda-Bastenakenstraat,GM0758
NL10247,Veldhoven-Europalaan,GM0861
NL10404,Den Haag-Rebecquestraat
NL10418,Rotterdam-Schiedamsevest,GM0599
NL10433,Vlaardingen-Floreslaan,GM0622
NL10444,De Zilk-Vogelaarsdreef
NL10448,Rotterdam-Bentinckplein,GM0599
NL10449,Vlaardingen-Riouwlaan,GM0622
NL10538,Wieringerwerf-Medemblikkerweg
NL10547,Hilversum-Johannes Geradtsweg,GM0402
NL10636,Utrecht-Kardinaal de Jongweg,GM0344
NL10641,Breukelen-A2
NL10643,Utrecht-Griftpark,GM0344
NL10644,Cabauw-Wielsekade  
NL10738,Wekerom-Riemterdijk
NL10741,Nijmegen-Graafseweg,GM0268
NL10742,Nijmegen-Ruyterstraat,GM0268
NL10821,Enschede-Winkelshorst,GM0153
NL10934,Kollumerwaard-Hooge Zuidwal
NL10937,Groningen-Europaweg,GM0014
NL10938,Groningen-Nijensteinheerd,GM0014
NL49007,Amsterdam-Einsteinweg,GM0363
NL49012,Amsterdam-Van Diemenstraat,GM0363
NL49014,Amsterdam-Vondelpark,GM0363
NL49016,Amsterdam-Westerpark,GM0363
NL49017,Amsterdam-Stadhouderskade,GM0363
NL49551,IJmuiden-Kanaalstraat
NL49553,Wijk aan Zee-De Banjaert
NL49556,De Rijp-Oostdijkje
NL49557,Wijk aan Zee-Bosweg
NL49561,Badhoevedorp-Sloterweg
NL49570,Beverwijk-Creutzberglaan,GM0375
NL49572,Velsen-Staalstraat,GM0453
NL49573,Velsen-Reyndersweg,GM0453
NL49701,Zaandam-Wagenschotpad
NL49703,Spaarnwoude-Machineweg
NL49704,Zaanstad-Hoogtij,GM0479
NL50003,Geleen-Asterstraat,GM1883
NL50004,Maastricht-A2-Nassaulaan,GM0935
NL50006,Horst_a/d_Maas-Hoogheide
NL50007,Maastricht-Hoge_Fronten,GM0935
NL50009,Maastricht-A2-Kasteel_Hillenraadweg,GM0935
NL53001,Ossendrecht-Burgemeester Voetenstraat
NL53004,Moerdijk-Julianastraat,GM1709
