"Emissions to air on Dutch territory, road traffic"
""
"","","Topic"
"","","Emissions|Carbon dioxide (CO2)","Emissions|Dinitrogen oxide (N2O)","Emissions|Methane (CH4)","Emissions|Carbon monoxide (CO)","Emissions|NMVOC","Emissions|Nitrogen oxides (NOx)","Emissions|Soot","Emissions|PM10 Total (Particulate matter)","Emissions|PM10 Combustion (Particulate matter)","Emissions|PM10 Wear (Particulate matter)","Emissions|PM2.5 Total (Particulate matter)","Emissions|PM2.5 Combustion (Particulate matter)","Emissions|PM2.5 Wear (Particulate matter)","Emissions|Ammonia (NH3)","Emissions|Sulphur dioxide (SO2)","Fleet emission factor|Carbon dioxide (CO2)","Fleet emission factor|Dinitrogen oxide (N2O)","Fleet emission factor|Methane (CH4)","Fleet emission factor|Carbon monoxide (CO)","Fleet emission factor|NMVOC","Fleet emission factor|Nitrogen oxides (NOx)","Fleet emission factor|Soot","Fleet emission factor|PM10 Total (Particulate matter)","Fleet emission factor|PM10 Combustion (Particulate matter)","Fleet emission factor|PM10 Wear (Particulate matter)","Fleet emission factor|PM2.5 Total (Particulate matter)","Fleet emission factor|PM2.5 Combustion (Particulate matter)","Fleet emission factor|PM2.5 Wear (Particulate matter)","Fleet emission factor|Ammonia (NH3)","Fleet emission factor|Sulphur dioxide (SO2)"
"Means of transport","Periods","million kg","million kg","million kg","million kg","million kg","million kg","million kg","million kg","million kg","million kg","million kg","million kg","million kg","million kg","million kg","grams/km","grams/km","grams/km","grams/km","grams/km","grams/km","grams/km","grams/km","grams/km","grams/km","grams/km","grams/km","grams/km","grams/km","grams/km"
"Total motor vehicles","2017*","28384","1.08","2.29","228.86","22.44","76.94","0.76","4.03","1.30","2.72","1.76","1.30","0.45","3.64","0.18","207","0.008","0.017","1.67","0.16","0.56","0.006","0.029","0.009","0.020","0.013","0.009","0.003","0.026","0.001"
"Total motor vehicles","2018*","28677","1.09","2.29","231.43","22.15","76.45","0.74","4.03","1.27","2.76","1.73","1.27","0.46","3.66","0.18","206","0.008","0.016","1.66","0.16","0.55","0.005","0.029","0.009","0.020","0.012","0.009","0.003","0.026","0.001"
"Total motor vehicles","2019*","28542","1.10","2.25","215.31","21.73","70.69","0.63","3.89","1.10","2.79","1.57","1.10","0.47","3.61","0.18","204","0.008","0.016","1.54","0.16","0.51","0.004","0.028","0.008","0.020","0.011","0.008","0.003","0.026","0.001"
"Total motor vehicles","2020*","25381","1.02","1.95","182.41","19.50","57.36","0.49","3.38","0.89","2.49","1.31","0.89","0.42","3.27","0.16","209","0.008","0.016","1.50","0.16","0.47","0.004","0.028","0.007","0.020","0.011","0.007","0.003","0.027","0.001"
"Total motor vehicles","2021*","26205","1.05","1.97","177.17","19.78","55.50","0.44","3.47","0.84","2.62","1.28","0.84","0.44","3.46","0.16","205","0.008","0.015","1.39","0.15","0.43","0.003","0.027","0.007","0.021","0.010","0.007","0.003","0.027","0.001"
"Total motor vehicles","2022*","26967","1.08","1.96","168.80","19.61","54.36","0.41","3.56","0.79","2.77","1.25","0.79","0.46","3.60","0.17","201","0.008","0.015","1.26","0.15","0.41","0.003","0.027","0.006","0.021","0.009","0.006","0.003","0.027","0.001"
"Total motor vehicles","2023*","27066","1.09","1.95","163.63","19.54","52.06","0.37","3.60","0.74","2.86","1.22","0.74","0.48","3.77","0.17","195","0.008","0.014","1.18","0.14","0.38","0.003","0.026","0.005","0.021","0.009","0.005","0.003","0.027","0.001"
"Passenger cars","2017*","17341","0.61","1.57","183.27","11.66","28.27","0.23","2.24","0.46","1.77","0.76","0.46","0.29","3.16","0.10","161","0.006","0.015","1.70","0.11","0.26","0.002","0.021","0.004","0.016","0.007","0.004","0.003","0.029","0.001"
"Passenger cars","2018*","17487","0.62","1.58","187.32","11.69","28.79","0.23","2.25","0.45","1.80","0.75","0.45","0.30","3.17","0.11","160","0.006","0.014","1.71","0.11","0.26","0.002","0.021","0.004","0.016","0.007","0.004","0.003","0.029","0.001"
