Region,Year,Private Transport in km
PV20,2018,2491.3050000000003
PV20,2019,2190.4699999999993
PV20,2020,1919.7350000000006
PV20,2021,2073.6549999999997
PV20,2022,2164.3900000000003
PV20,2023,2247.1400000000003
PV21,2018,2807.6550000000007
PV21,2019,2686.8250000000003
PV21,2020,2463.2050000000004
PV21,2021,2296.7799999999997
PV21,2022,2635.71
PV21,2023,2688.335
PV22,2018,3136.5700000000015
PV22,2019,2989.6799999999994
PV22,2020,2353.4250000000015
PV22,2021,2484.3100000000013
PV22,2022,2537.9399999999996
PV22,2023,2793.1499999999983
PV23,2018,3002.210000000001
PV23,2019,2767.055000000001
PV23,2020,2398.5350000000017
PV23,2021,2512.3800000000024
PV23,2022,2526.9000000000005
PV23,2023,2836.2600000000016
PV24,2018,2798.649999999999
PV24,2019,2716.9250000000006
PV24,2020,2298.265
PV24,2021,2234.630000000001
PV24,2022,2569.540000000001
PV24,2023,2709.93
PV25,2018,3022.2550000000033
PV25,2019,3003.1900000000032
PV25,2020,2443.1500000000033
PV25,2021,2541.4550000000017
PV25,2022,2780.080000000002
PV25,2023,2908.9700000000034
PV26,2018,2606.1250000000014
PV26,2019,2579.065000000001
PV26,2020,2087.6950000000015
PV26,2021,2216.5650000000023
PV26,2022,2374.9950000000035
PV26,2023,2460.2100000000028
PV27,2018,2395.035000000004
PV27,2019,2266.1750000000025
PV27,2020,1891.6500000000037
PV27,2021,1972.8800000000037
PV27,2022,2057.6300000000037
PV27,2023,2162.4200000000037
PV28,2018,2573.5250000000046
PV28,2019,2559.490000000005
PV28,2020,2011.9700000000041
PV28,2021,2123.3050000000044
PV28,2022,2233.605000000004
PV28,2023,2349.9500000000044
PV29,2018,2656.7599999999998
PV29,2019,2656.76
PV29,2020,2078.1749999999993
PV29,2021,2169.42
PV29,2022,2367.4600000000005
PV29,2023,2525.8999999999996
PV30,2018,3086.420000000004
PV30,2019,3113.0300000000034
PV30,2020,2658.245000000004
PV30,2021,2711.420000000004
PV30,2022,2839.765000000003
PV30,2023,3100.4700000000043
PV31,2018,3208.240000000002
PV31,2019,3247.3600000000015
PV31,2020,2766.530000000003
PV31,2021,2685.845000000002
PV31,2022,2949.5700000000006
PV31,2023,3257.400000000002
