Region,Year,Public Transport in km
PV20,2018,136.37
PV20,2019,77.21000000000001
PV20,2020,-1.0
PV20,2021,43.12
PV20,2022,-1.0
PV20,2023,122.83499999999998
PV21,2018,52.14
PV21,2019,-1.0
PV21,2020,-1.0
PV21,2021,-1.0
PV21,2022,-1.0
PV21,2023,-1.0
PV22,2018,-1.0
PV22,2019,-1.0
PV22,2020,-1.0
PV22,2021,-1.0
PV22,2022,-1.0
PV22,2023,-1.0
PV23,2018,66.185
PV23,2019,76.71000000000001
PV23,2020,28.584999999999997
PV23,2021,25.07
PV23,2022,52.150000000000006
PV23,2023,52.650000000000006
PV24,2018,313.35
PV24,2019,141.38
PV24,2020,-1.0
PV24,2021,-1.0
PV24,2022,138.38
PV24,2023,157.935
PV25,2018,184.4899999999999
PV25,2019,173.4849999999999
PV25,2020,60.65999999999999
PV25,2021,60.16499999999999
PV25,2022,127.85000000000002
PV25,2023,150.91999999999996
PV26,2018,299.80999999999995
PV26,2019,298.825
PV26,2020,127.35
PV26,2021,148.90999999999994
PV26,2022,242.15999999999974
PV26,2023,322.8899999999998
PV27,2018,544.0099999999993
PV27,2019,479.2899999999995
PV27,2020,213.07999999999979
PV27,2021,226.61999999999978
PV27,2022,323.88499999999965
PV27,2023,370.51499999999965
PV28,2018,473.28999999999945
PV28,2019,504.89499999999936
PV28,2020,198.53999999999982
PV28,2021,220.59499999999974
PV28,2022,339.96499999999963
PV28,2023,394.06999999999954
PV29,2018,-1.0
PV29,2019,-1.0
PV29,2020,-1.0
PV29,2021,-1.0
PV29,2022,-1.0
PV29,2023,-1.0
PV30,2018,159.43999999999994
PV30,2019,158.93499999999995
PV30,2020,42.615
PV30,2021,37.09999999999999
PV30,2022,69.19
PV30,2023,126.85000000000001
PV31,2018,141.87499999999997
PV31,2019,101.77000000000001
PV31,2020,-1.0
PV31,2021,31.584999999999997
PV31,2022,46.625
PV31,2023,53.650000000000006
