;1996;2000;2003;2006;2008;2010;2012;2015;2017
Drenthe;('', '');('470', '0');('480', '8');('483', '10');('484', '10');('491', '8');('491', '8');('495', '8')
GM0738;('162', '2');('164', '2');('161', '2');('161', '2');('163', '2');('160', '2');('158', '4');('150', '4')
Noord-Holland;('342', '163');('333', '168');('344', '215');('363', '191');('369', '187');('349', '181');('352', '200');('347', '200')
Gelderland;('98', '95');('104', '102');('97', '98');('153', '125');('152', '120');('154', '114');('151', '110');('152', '111')
GM0480;('50', '5');('54', '5');('53', '6');('54', '6');('', '');('', '');('', '');('', '')
GM0739;('43', '4');('', '');('', '');('', '');('', '');('', '');('', '');('', '')
GM0305;('96', '4');('100', '4');('101', '5');('99', '6');('106', '6');('101', '6');('', '');('', '')
Fryslan;('535', '10');('536', '10');('526', '18');('503', '24');('509', '23');('502', '25');('483', '25');('472', '42')
GM0360;('35', '0');('35', '0');('', '');('', '');('', '');('', '');('', '');('', '')
GM0482;('55', '9');('54', '9');('53', '26');('59', '26');('60', '26');('62', '26');('63', '25');('63', '25')
Zuid-Holland;('95', '72');('97', '73');('119', '107');('105', '115');('106', '115');('109', '111');('112', '112');('110', '111')
GM0483;('106', '1');('104', '1');('99', '3');('136', '1');('131', '1');('', '');('', '');('', '')
GM0361;('162', '139');('171', '165');('168', '188');('178', '193');('182', '203');('194', '202');('193', '217');('454', '228')
Overijssel;('410', '183');('406', '200');('484', '258');('494', '308');('506', '307');('515', '313');('511', '311');('505', '317')
Flevoland;('491', '24');('500', '29');('362', '73');('373', '77');('377', '75');('371', '75');('339', '94');('349', '117')
GM0484;('160', '139');('177', '147');('182', '239');('199', '218');('200', '217');('195', '221');('195', '224');('354', '274')
GM0741;('96', '0');('', '');('', '');('', '');('', '');('', '');('', '');('', '')
GM1723;('', '');('154', '0');('155', '0');('162', '0');('159', '0');('160', '0');('160', '0');('159', '0')
GM0142;('242', '17');('241', '17');('', '');('', '');('', '');('', '');('', '');('', '')
GM1679;('105', '0');('106', '0');('114', '0');('114', '0');('', '');('', '');('', '');('', '')
GM0306;('51', '3');('51', '3');('60', '3');('', '');('', '');('', '');('', '');('', '')
Utrecht;('156', '265');('157', '266');('154', '133');('156', '135');('160', '137');('165', '141');('165', '139');('162', '108')
GM0198;('40', '6');('', '');('', '');('', '');('', '');('', '');('', '');('', '')
GM0364;('62', '4');('65', '3');('65', '3');('67', '3');('67', '3');('66', '3');('', '');('', '')
GM0199;('84', '1');('81', '1');('78', '2');('', '');('', '');('', '');('', '');('', '')
GM0105;('190', '3');('', '');('', '');('', '');('', '');('', '');('', '');('', '')
GM0366;('194', '18');('193', '19');('181', '23');('191', '18');('194', '14');('186', '18');('', '');('', '')
GM0003;('74', '22');('84', '22');('91', '19');('96', '29');('99', '27');('103', '27');('104', '27');('103', '27')
GM0885;('94', '19');('98', '19');('90', '0');('91', '0');('92', '0');('', '');('', '');('', '')
GM0649;('62', '9');('', '');('', '');('', '');('', '');('', '');('', '');('', '')
Noord-Brabant;('175', '0');('242', '1');('245', '10');('249', '10');('253', '8');('255', '8');('251', '12');('248', '6')
GM0143;('189', '14');('186', '15');('', '');('', '');('', '');('', '');('', '');('', '')
GM0650;('232', '26');('248', '29');('', '');('', '');('', '');('', '');('', '');('', '')
GM0744;('96', '0');('107', '0');('106', '0');('107', '1');('107', '1');('105', '0');('103', '0');('100', '0')
GM0745;('127', '4');('', '');('', '');('', '');('', '');('', '');('', '');('', '')
GM0144;('104', '0');('99', '0');('100', '3');('', '');('', '');('', '');('', '');('', '')
GM0005;('100', '3');('100', '5');('99', '9');('100', '10');('107', '8');('107', '10');('105', '10');('103', '10')
Limburg;('340', '40');('373', '48');('373', '68');('376', '70');('382', '73');('398', '69');('400', '69');('391', '80')
GM0746;('49', '25');('', '');('', '');('', '');('', '');('', '');('', '');('', '')
GM0370;('289', '0');('286', '0');('283', '2');('280', '2');('284', '2');('283', '2');('274', '2');('273', '2')
GM0107;('438', '15');('', '');('', '');('', '');('', '');('', '');('', '');('', '')
GM0890;('42', '3');('43', '3');('', '');('', '');('', '');('', '');('', '');('', '')
GM0007;('260', '18');('259', '19');('268', '23');('266', '22');('267', '22');('269', '22');('264', '22');('263', '22')
GM0206;('127', '15');('111', '28');('', '');('', '');('', '');('', '');('', '');('', '')
GM0372;('4', '2');('4', '0');('5', '0');('5', '0');('5', '3');('', '');('', '');('', '')
GM0491;('62', '4');('61', '7');('59', '3');('59', '3');('61', '3');('62', '3');('60', '3');('', '')
GM0893;('228', '16');('228', '16');('230', '17');('231', '17');('231', '12');('226', '11');('217', '14');('213', '16')
GM0373;('59', '12');('59', '12');('185', '50');('186', '46');('187', '37');('182', '33');('180', '33');('187', '33')
GM0749;('81', '1');('', '');('', '');('', '');('', '');('', '');('', '');('', '')
GM0207;('181', '2');('181', '2');('185', '17');('', '');('', '');('', '');('', '');('', '')
GM0492;('52', '7');('53', '6');('57', '11');('64', '11');('', '');('', '');('', '');('', '')
GM0493;('55', '9');('56', '10');('58', '17');('54', '17');('', '');('', '');('', '');('', '')
GM0751;('97', '6');('', '');('', '');('', '');('', '');('', '');('', '');('', '')
GM0568;('211', '12');('210', '12');('206', '8');('208', '7');('207', '7');('202', '7');('189', '16');('', '')
GM0063;('169', '0');('162', '0');('174', '0');('170', '1');('165', '6');('186', '6');('178', '7');('169', '7')
