,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
NL01482,29.0,14.0,16.0,13.0,-,-,-,-,-,-
NL01483,16.0,17.0,18.0,18.0,19.0 *,-,-,-,-,-
Rotterdam,15.0,15.0,14.0,12.0,11.0 *,-,-,-,-,10.0
Rotterdam,17.0,17.0,16.0,13.0,15.0,15.0,17.0,15.0,13.0,12.0
Rotterdam,14.0,13.0,14.0,12.0,12.0,12.0,13.0,11.0,10.0,11.0
Ridderkerk,15.0,15.0,15.0,13.0,12.0,13.0,15.0,12.0,9.2,10.0
NL01491,15.0,14.0,16.0,13.0,11.0,13.0,14.0,13.0,10.0,10.0
Schiedam,14.0,15.0,14.0,13.0,12.0,13.0,14.0,13.0,10.0,12.0
Maassluis,14.0,13.0,13.0,12.0,9.3,12.0,15.0,12.0,10.0,11.0
Rotterdam,13.0,13.0,15.0,12.0,11.0,11.0,12.0,11.0,9.0,10.0
NL01913,-,-,-,-,-,-,-,-,-,12.0
NL10131,-,-,12.0,12.0 *,8.8 *,10.0,12.0,12.0,10.0,11.0
Heerlen,-,-,12.0,17.0 *,9.3 *,10.0,11.0,10.0,8.2,8.8
Heerlen,-,-,9.0,14.0 *,9.4 *,10.0,10.0,8.5,7.2,7.7
NL10230,-,-,14.0,12.0,11.0,11.0,13.0,11.0,10.0,10.0
Breda,-,-,14.0,14.0 *,11.0,12.0,12.0,11.0,9.4,11.0
Breda,-,-,15.0,12.0,12.0,11.0,13.0,9.1,7.6,7.7
Veldhoven,-,-,11.0,11.0 *,11.0,12.0,13.0,12.0,10.0,11.0
NL10404,-,-,-,-,10.0,10.0,10.0,8.6,7.1,6.7
Rotterdam,-,-,-,-,11.0,10.0,11.0,10.0,8.4,8.4
Vlaardingen,-,-,11.0,11.0 *,9.4 *,10.0 *,16.0 *,-,-,-
NL10444,-,-,11.0,10.0,8.2,10.0,10.0,8.8,8.3,8.5
Rotterdam,-,-,-,12.0,11.0,12.0,13.0,11.0,10.0,10.0
Vlaardingen,-,-,-,-,-,-,-,-,10.0,10.0
NL10538,-,-,12.0,8.9,8.6 *,9.0,10.0,8.5,7.3,7.3
Hilversum,-,-,12.0 *,12.0 *,10.0,10.0,8.2 *,-,-,-
Utrecht,-,-,14.0,13.0 *,10.0,11.0,12.0,11.0,10.0,11.0
NL10641,-,-,13.0,12.0 *,9.4,10.0,12.0,10.0,8.5,8.8
Utrecht,-,-,10.0,14.0 *,12.0,11.0,12.0,10.0,9.0,11.0
NL10644,-,-,12.0,11.0 *,9.0,10.0,11.0,10.0,7.9,8.1
NL10738,-,-,13.0,12.0 *,9.1,11.0,13.0,11.0,9.2,10.0
Nijmegen,-,-,15.0 *,13.0 *,11.0,12.0,12.0,11.0,10.0,10.0
Nijmegen,-,-,15.0,12.0,11.0,12.0,12.0,11.0,10.0,11.0
Enschede,-,-,13.0,12.0 *,11.0,10.0,10.0,8.9,7.6,7.8
NL10934,-,-,11.0,11.0 *,8.8,8.7,10.0,8.3,6.5,6.5
Groningen,-,-,-,11.0 *,10.0,9.4,10.0,8.6,7.3,7.2
Groningen,-,-,-,12.0 *,11.0,10.0,11.0,8.5,6.9,7.7
Amsterdam,16.0,16.0,16.0,14.0 *,14.0,13.0,13.0,10.0,8.7,10.0
Amsterdam,17.0,16.0,17.0,16.0,15.0,14.0,15.0,13.0,10.0,11.0
Amsterdam,15.0,14.0,15.0,12.0,11.0,10.0,11.0,10.0,10.0,10.0
Amsterdam,14.0,14.0,14.0,11.0,15.0,14.0,14.0,13.0,10.0,10.0
Amsterdam,17.0,17.0,16.0,14.0,13.0,13.0,14.0,10.0,9.4,11.0
NL49551,15.0,15.0,17.0,15.0,12.0,11.0,14.0,11.0,10.0,10.0
NL49553,15.0,15.0,16.0,15.0,13.0,13.0,13.0,12.0,11.0,11.0
NL49556,-,-,-,-,-,10.0,13.0,12.0,8.7,8.4
NL49557,-,-,-,-,-,-,-,-,-,11.0
NL49561,14.0,15.0,13.0,13.0,14.0,12.0,13.0,12.0,10.0,10.0
Beverwijk,13.0,13.0,13.0,12.0,11.0,12.0,13.0,12.0,10.0,9.4
Velsen,15.0,15.0,15.0,13.0,12.0,13.0,12.0,11.0,10.0,10.0
Velsen,16.0,17.0,15.0,14.0,16.0,12.0,14.0,15.0,12.0,11.0
NL49701,15.0,15.0,16.0,13.0,12.0,12.0,13.0,11.0,10.0,10.0
NL49703,14.0,15.0,13.0,12.0,13.0,10.0,12.0,12.0,9.1,8.8
Zaanstad,14.0,16.0,14.0,13.0,11.0,11.0,14.0,12.0,10.0,10.0
Sittard-Geleen,-,-,-,13.0,11.0,11.0 *,12.0,11.0,-,-
Maastricht,-,-,-,12.0,11.0,11.0,13.0,10.0,-,-
NL50006,-,-,-,11.0,12.0,11.0,13.0,12.0,-,-
Maastricht,-,-,-,13.0,12.0,11.0,12.0,11.0,-,-
Maastricht,-,-,-,-,12.0,12.0,13.0,11.0,-,-
NL53001,15.0,16.0,19.0,16.0,15.0,14.0,14.0,13.0,11.0,11.0
Moerdijk,-,13.0 *,14.0,14.0,14.0,11.0,11.0,10.0,10.0,11.0

