Region,Year,0 to 10 km,>10 to 20 km,>20 to 50km
Aa en Hunze,2006,-1.0,-1.0,-1.0
Aa en Hunze,2007,-1.0,-1.0,-1.0
Aa en Hunze,2008,-1.0,-1.0,-1.0
Aa en Hunze,2009,-1.0,-1.0,-1.0
Aa en Hunze,2010,-1.0,-1.0,-1.0
Aa en Hunze,2011,-1.0,-1.0,-1.0
Aa en Hunze,2012,-1.0,-1.0,-1.0
Aa en Hunze,2013,0.03163444639718806,0.12653778558875223,0.8418277680140598
Aa en Hunze,2014,-1.0,-1.0,-1.0
Aa en Hunze,2015,-1.0,-1.0,-1.0
Aa en Hunze,2016,-1.0,-1.0,-1.0
Aa en Hunze,2017,0.03230849400729546,0.12350182386659718,0.8441896821261073
Aa en Hunze,2018,0.031424227065382664,0.12062848454130765,0.8479472883933097
Aa en Hunze,2019,0.03296146044624746,0.12322515212981744,0.8438133874239351
Aa en Hunze,2020,0.03138793526238352,0.12015693967631191,0.8484551250613045
Aa en Hunze,2021,-1.0,-1.0,-1.0
Aa en Hunze,2022,-1.0,-1.0,-1.0
Aa en Hunze,2023,-1.0,-1.0,-1.0
GM0738,2006,-1.0,-1.0,-1.0
GM0738,2007,-1.0,-1.0,-1.0
GM0738,2008,-1.0,-1.0,-1.0
GM0738,2009,-1.0,-1.0,-1.0
GM0738,2010,-1.0,-1.0,-1.0
GM0738,2011,-1.0,-1.0,-1.0
GM0738,2012,-1.0,-1.0,-1.0
GM0738,2013,0.011968258098087681,0.09509561597502277,0.8929361259268896
GM0738,2014,-1.0,-1.0,-1.0
GM0738,2015,-1.0,-1.0,-1.0
GM0738,2016,-1.0,-1.0,-1.0
GM0738,2017,0.01136896390060947,0.09282700421940929,0.8958040318799813
GM0738,2018,0.011372774267662264,0.09236071223434808,0.8962665134979897
GM0738,2019,-1.0,-1.0,-1.0
GM0738,2020,-1.0,-1.0,-1.0
GM0738,2021,-1.0,-1.0,-1.0
GM0738,2022,-1.0,-1.0,-1.0
GM0738,2023,-1.0,-1.0,-1.0
Aalsmeer,2006,-1.0,-1.0,-1.0
Aalsmeer,2007,-1.0,-1.0,-1.0
Aalsmeer,2008,-1.0,-1.0,-1.0
