Region,Year,Private Transport in km
Groningen,2018,2491.3050000000003
Groningen,2019,2190.4699999999993
Groningen,2020,1919.7350000000006
Groningen,2021,2073.6549999999997
Groningen,2022,2164.3900000000003
Groningen,2023,2247.1400000000003
Fryslan,2018,2807.6550000000007
Fryslan,2019,2686.8250000000003
Fryslan,2020,2463.2050000000004
Fryslan,2021,2296.7799999999997
Fryslan,2022,2635.71
Fryslan,2023,2688.335
Drenthe,2018,3136.5700000000015
Drenthe,2019,2989.6799999999994
Drenthe,2020,2353.4250000000015
Drenthe,2021,2484.3100000000013
Drenthe,2022,2537.9399999999996
Drenthe,2023,2793.1499999999983
Overijssel,2018,3002.210000000001
Overijssel,2019,2767.055000000001
Overijssel,2020,2398.5350000000017
Overijssel,2021,2512.3800000000024
Overijssel,2022,2526.9000000000005
Overijssel,2023,2836.2600000000016
Flevoland,2018,2798.649999999999
Flevoland,2019,2716.9250000000006
Flevoland,2020,2298.265
Flevoland,2021,2234.630000000001
Flevoland,2022,2569.540000000001
Flevoland,2023,2709.93
Gelderland,2018,3022.2550000000033
Gelderland,2019,3003.1900000000032
Gelderland,2020,2443.1500000000033
Gelderland,2021,2541.4550000000017
Gelderland,2022,2780.080000000002
Gelderland,2023,2908.9700000000034
Utrecht,2018,2606.1250000000014
Utrecht,2019,2579.065000000001
Utrecht,2020,2087.6950000000015
Utrecht,2021,2216.5650000000023
Utrecht,2022,2374.9950000000035
Utrecht,2023,2460.2100000000028
Noord‑Holland,2018,2395.035000000004
Noord‑Holland,2019,2266.1750000000025
Noord‑Holland,2020,1891.6500000000037
Noord‑Holland,2021,1972.8800000000037
Noord‑Holland,2022,2057.6300000000037
Noord‑Holland,2023,2162.4200000000037
Zuid‑Holland,2018,2573.5250000000046
Zuid‑Holland,2019,2559.490000000005
Zuid‑Holland,2020,2011.9700000000041
Zuid‑Holland,2021,2123.3050000000044
Zuid‑Holland,2022,2233.605000000004
Zuid‑Holland,2023,2349.9500000000044
Zeeland,2018,2656.7599999999998
Zeeland,2019,2656.76
Zeeland,2020,2078.1749999999993
Zeeland,2021,2169.42
Zeeland,2022,2367.4600000000005
Zeeland,2023,2525.8999999999996
Noord‑Brabant,2018,3086.420000000004
Noord‑Brabant,2019,3113.0300000000034
Noord‑Brabant,2020,2658.245000000004
Noord‑Brabant,2021,2711.420000000004
Noord‑Brabant,2022,2839.765000000003
Noord‑Brabant,2023,3100.4700000000043
Limburg,2018,3208.240000000002
Limburg,2019,3247.3600000000015
Limburg,2020,2766.530000000003
Limburg,2021,2685.845000000002
Limburg,2022,2949.5700000000006
Limburg,2023,3257.400000000002
