,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
NL01482,29.0,14.0,16.0,13.0,-,-,-,-,-,-
NL01483,16.0,17.0,18.0,18.0,19.0 *,-,-,-,-,-
Rotterdam-Hoogvliet,15.0,15.0,14.0,12.0,11.0 *,-,-,-,-,10.0
Rotterdam-Pleinweg,17.0,17.0,16.0,13.0,15.0,15.0,17.0,15.0,13.0,12.0
Rotterdam-Zwartewaalstraat,14.0,13.0,14.0,12.0,12.0,12.0,13.0,11.0,10.0,11.0
Ridderkerk-A16,15.0,15.0,15.0,13.0,12.0,13.0,15.0,12.0,9.2,10.0
Overschie-A13,15.0,14.0,16.0,13.0,11.0,13.0,14.0,13.0,10.0,10.0
Schiedam-A.Arienstraat,14.0,15.0,14.0,13.0,12.0,13.0,14.0,13.0,10.0,12.0
Maassluis-Kwartellaan,14.0,13.0,13.0,12.0,9.3,12.0,15.0,12.0,10.0,11.0
Rotterdam-HvHolland,13.0,13.0,15.0,12.0,11.0,11.0,12.0,11.0,9.0,10.0
Sluiskil-Stroodorpestraat,-,-,-,-,-,-,-,-,-,12.0
Vredepeel-Vredeweg,-,-,12.0,12.0 *,8.8 *,10.0,12.0,12.0,10.0,11.0
Heerlen-Looierstraat,-,-,12.0,17.0 *,9.3 *,10.0,11.0,10.0,8.2,8.8
Heerlen-Jamboreepad,-,-,9.0,14.0 *,9.4 *,10.0,10.0,8.5,7.2,7.7
Biest Houtakker-Biestsestraat,-,-,14.0,12.0,11.0,11.0,13.0,11.0,10.0,10.0
Breda-Tilburgseweg,-,-,14.0,14.0 *,11.0,12.0,12.0,11.0,9.4,11.0
Breda-Bastenakenstraat,-,-,15.0,12.0,12.0,11.0,13.0,9.1,7.6,7.7
Veldhoven-Europalaan,-,-,11.0,11.0 *,11.0,12.0,13.0,12.0,10.0,11.0
Den Haag-Rebecquestraat,-,-,-,-,10.0,10.0,10.0,8.6,7.1,6.7
Rotterdam-Schiedamsevest,-,-,-,-,11.0,10.0,11.0,10.0,8.4,8.4
Vlaardingen-Floreslaan,-,-,11.0,11.0 *,9.4 *,10.0 *,16.0 *,-,-,-
De Zilk-Vogelaarsdreef,-,-,11.0,10.0,8.2,10.0,10.0,8.8,8.3,8.5
Rotterdam-Bentinckplein,-,-,-,12.0,11.0,12.0,13.0,11.0,10.0,10.0
Vlaardingen-Riouwlaan,-,-,-,-,-,-,-,-,10.0,10.0
Wieringerwerf-Medemblikkerweg,-,-,12.0,8.9,8.6 *,9.0,10.0,8.5,7.3,7.3
Hilversum-Johannes Geradtsweg,-,-,12.0 *,12.0 *,10.0,10.0,8.2 *,-,-,-
Utrecht-Kardinaal de Jongweg,-,-,14.0,13.0 *,10.0,11.0,12.0,11.0,10.0,11.0
Breukelen-A2,-,-,13.0,12.0 *,9.4,10.0,12.0,10.0,8.5,8.8
Utrecht-Griftpark,-,-,10.0,14.0 *,12.0,11.0,12.0,10.0,9.0,11.0
Cabauw-Wielsekade,-,-,12.0,11.0 *,9.0,10.0,11.0,10.0,7.9,8.1
Wekerom-Riemterdijk,-,-,13.0,12.0 *,9.1,11.0,13.0,11.0,9.2,10.0
