ID,Regions,Periods,MainRoad_4,ParkAndPublicGarden_20
45,PV20,1996JJ00,5804,1158
46,PV20,2000JJ00,5840,1180
47,PV20,2003JJ00,5923,1259
48,PV20,2006JJ00,5957,1311
49,PV20,2008JJ00,5882,1371
50,PV20,2010JJ00,6049,1346
51,PV20,2012JJ00,5954,1372
52,PV20,2015JJ00,5938,1410
53,PV20,2017JJ00,5878,1492
54,PV21,1996JJ00,8036,746
55,PV21,2000JJ00,8154,798
56,PV21,2003JJ00,8260,863
57,PV21,2006JJ00,8199,935
58,PV21,2008JJ00,8149,933
59,PV21,2010JJ00,8346,930
60,PV21,2012JJ00,7945,1028
61,PV21,2015JJ00,7912,1091
62,PV21,2017JJ00,7907,1118
63,PV22,1996JJ00,6355,708
64,PV22,2000JJ00,6427,766
65,PV22,2003JJ00,6525,905
66,PV22,2006JJ00,6509,837
67,PV22,2008JJ00,6552,882
68,PV22,2010JJ00,6743,884
69,PV22,2012JJ00,6726,933
70,PV22,2015JJ00,6699,1003
71,PV22,2017JJ00,6655,1064
72,PV23,1996JJ00,9113,1378
73,PV23,2000JJ00,9165,1447
74,PV23,2003JJ00,9360,1711
75,PV23,2006JJ00,9349,1812
76,PV23,2008JJ00,9487,1785
77,PV23,2010JJ00,9764,1803
78,PV23,2012JJ00,9685,1817
79,PV23,2015JJ00,9543,1933
80,PV23,2017JJ00,9511,1991
81,PV24,1996JJ00,3286,999
82,PV24,2000JJ00,3277,1206
83,PV24,2003JJ00,3259,1321
84,PV24,2006JJ00,3233,1422
85,PV24,2008JJ00,3224,1527
86,PV24,2010JJ00,3234,1529
87,PV24,2012JJ00,3083,1572
88,PV24,2015JJ00,3137,1664
89,PV24,2017JJ00,3110,1773
90,PV25,1996JJ00,14411,2339
91,PV25,2000JJ00,14319,2488
92,PV25,2003JJ00,14656,2796
93,PV25,2006JJ00,14954,2939
94,PV25,2008JJ00,15055,2909
95,PV25,2010JJ00,14964,2885
96,PV25,2012JJ00,14867,3015
97,PV25,2015JJ00,14686,3088
98,PV25,2017JJ00,14560,3340
99,PV26,1996JJ00,4278,1558
100,PV26,2000JJ00,4395,1630
101,PV26,2003JJ00,4709,1594
102,PV26,2006JJ00,4844,1724
103,PV26,2008JJ00,4983,1814
104,PV26,2010JJ00,5014,1853
105,PV26,2012JJ00,5082,1877
106,PV26,2015JJ00,5017,2006
107,PV26,2017JJ00,4996,2262
108,PV27,1996JJ00,9252,3503
109,PV27,2000JJ00,9325,3644
110,PV27,2003JJ00,9695,4388
111,PV27,2006JJ00,9908,4523
112,PV27,2008JJ00,10125,4481
113,PV27,2010JJ00,10080,4454
114,PV27,2012JJ00,9791,4817
115,PV27,2015JJ00,9880,5004
116,PV27,2017JJ00,9879,5498
117,PV28,1996JJ00,11294,5218
118,PV28,2000JJ00,11441,5324
119,PV28,2003JJ00,11430,5762
120,PV28,2006JJ00,11727,5991
121,PV28,2008JJ00,11844,6027
122,PV28,2010JJ00,11639,6181
123,PV28,2012JJ00,11580,6456
124,PV28,2015JJ00,11498,6825
125,PV28,2017JJ00,11576,7162
126,PV29,1996JJ00,6956,754
127,PV29,2000JJ00,7024,810
128,PV29,2003JJ00,7232,746
129,PV29,2006JJ00,7252,753
130,PV29,2008JJ00,7294,711
131,PV29,2010JJ00,7033,740
132,PV29,2012JJ00,6821,766
133,PV29,2015JJ00,6800,767
134,PV29,2017JJ00,6604,771
135,PV30,1996JJ00,15147,2843
136,PV30,2000JJ00,15279,3186
137,PV30,2003JJ00,15487,3650
138,PV30,2006JJ00,15933,3772
139,PV30,2008JJ00,16091,3745
140,PV30,2010JJ00,16262,3878
141,PV30,2012JJ00,16127,3919
142,PV30,2015JJ00,16059,4019
143,PV30,2017JJ00,16004,4260
144,PV31,1996JJ00,6911,1468
145,PV31,2000JJ00,6977,1533
146,PV31,2003JJ00,7091,1679
147,PV31,2006JJ00,7128,1697
148,PV31,2008JJ00,7431,1806
149,PV31,2010JJ00,7478,1907
150,PV31,2012JJ00,7278,1975
151,PV31,2015JJ00,7232,2010
152,PV31,2017JJ00,7156,2132
