Region,Year,Public Transport in km
Groningen,2018,136.37
Groningen,2019,77.21000000000001
Groningen,2020,-1.0
Groningen,2021,43.12
Groningen,2022,-1.0
Groningen,2023,122.83499999999998
Fryslan,2018,52.14
Fryslan,2019,-1.0
Fryslan,2020,-1.0
Fryslan,2021,-1.0
Fryslan,2022,-1.0
Fryslan,2023,-1.0
Drenthe,2018,-1.0
Drenthe,2019,-1.0
Drenthe,2020,-1.0
Drenthe,2021,-1.0
Drenthe,2022,-1.0
Drenthe,2023,-1.0
Overijssel,2018,66.185
Overijssel,2019,76.71000000000001
Overijssel,2020,28.584999999999997
Overijssel,2021,25.07
Overijssel,2022,52.150000000000006
Overijssel,2023,52.650000000000006
Flevoland,2018,313.35
Flevoland,2019,141.38
Flevoland,2020,-1.0
Flevoland,2021,-1.0
Flevoland,2022,138.38
Flevoland,2023,157.935
Gelderland,2018,184.4899999999999
Gelderland,2019,173.4849999999999
Gelderland,2020,60.65999999999999
Gelderland,2021,60.16499999999999
Gelderland,2022,127.85000000000002
Gelderland,2023,150.91999999999996
Utrecht,2018,299.80999999999995
Utrecht,2019,298.825
Utrecht,2020,127.35
Utrecht,2021,148.90999999999994
Utrecht,2022,242.15999999999974
Utrecht,2023,322.8899999999998
Noord‑Holland,2018,544.0099999999993
Noord‑Holland,2019,479.2899999999995
Noord‑Holland,2020,213.07999999999979
Noord‑Holland,2021,226.61999999999978
Noord‑Holland,2022,323.88499999999965
Noord‑Holland,2023,370.51499999999965
Zuid‑Holland,2018,473.28999999999945
Zuid‑Holland,2019,504.89499999999936
Zuid‑Holland,2020,198.53999999999982
Zuid‑Holland,2021,220.59499999999974
Zuid‑Holland,2022,339.96499999999963
Zuid‑Holland,2023,394.06999999999954
Zeeland,2018,-1.0
Zeeland,2019,-1.0
Zeeland,2020,-1.0
Zeeland,2021,-1.0
Zeeland,2022,-1.0
Zeeland,2023,-1.0
Noord‑Brabant,2018,159.43999999999994
Noord‑Brabant,2019,158.93499999999995
Noord‑Brabant,2020,42.615
Noord‑Brabant,2021,37.09999999999999
Noord‑Brabant,2022,69.19
Noord‑Brabant,2023,126.85000000000001
Limburg,2018,141.87499999999997
Limburg,2019,101.77000000000001
Limburg,2020,-1.0
Limburg,2021,31.584999999999997
Limburg,2022,46.625
Limburg,2023,53.650000000000006
