ID,RegioS,Perioden,Bevolkingsdichtheid_57
155,PV20,1995JJ00,238
156,PV20,1996JJ00,238
157,PV20,1997JJ00,238
158,PV20,1998JJ00,238
159,PV20,1999JJ00,239
160,PV20,2000JJ00,240
161,PV20,2001JJ00,242
162,PV20,2002JJ00,244
163,PV20,2003JJ00,245
164,PV20,2004JJ00,246
165,PV20,2005JJ00,246
166,PV20,2006JJ00,246
167,PV20,2007JJ00,246
168,PV20,2008JJ00,246
169,PV20,2009JJ00,247
170,PV20,2010JJ00,248
171,PV20,2011JJ00,249
172,PV20,2012JJ00,250
173,PV20,2013JJ00,250
174,PV20,2014JJ00,251
175,PV20,2015JJ00,251
176,PV20,2016JJ00,251
177,PV20,2017JJ00,251
178,PV20,2018JJ00,251
179,PV20,2019JJ00,251
180,PV20,2020JJ00,252
181,PV20,2021JJ00,253
182,PV20,2022JJ00,255
183,PV20,2023JJ00,257
184,PV20,2024JJ00,260
185,PV20,2025JJ00,260
186,PV21,1995JJ00,181
187,PV21,1996JJ00,182
188,PV21,1997JJ00,183
189,PV21,1998JJ00,184
190,PV21,1999JJ00,185
191,PV21,2000JJ00,186
192,PV21,2001JJ00,188
193,PV21,2002JJ00,189
194,PV21,2003JJ00,191
195,PV21,2004JJ00,192
196,PV21,2005JJ00,192
197,PV21,2006JJ00,192
198,PV21,2007JJ00,192
199,PV21,2008JJ00,192
200,PV21,2009JJ00,193
201,PV21,2010JJ00,193
202,PV21,2011JJ00,194
203,PV21,2012JJ00,194
204,PV21,2013JJ00,195
205,PV21,2014JJ00,194
206,PV21,2015JJ00,194
207,PV21,2016JJ00,194
208,PV21,2017JJ00,195
209,PV21,2018JJ00,194
210,PV21,2019JJ00,194
211,PV21,2020JJ00,195
212,PV21,2021JJ00,195
213,PV21,2022JJ00,196
214,PV21,2023JJ00,197
215,PV21,2024JJ00,198
216,PV21,2025JJ00,199
217,PV22,1995JJ00,172
218,PV22,1996JJ00,172
219,PV22,1997JJ00,174
220,PV22,1998JJ00,175
221,PV22,1999JJ00,176
222,PV22,2000JJ00,177
223,PV22,2001JJ00,179
224,PV22,2002JJ00,181
225,PV22,2003JJ00,182
226,PV22,2004JJ00,183
227,PV22,2005JJ00,183
228,PV22,2006JJ00,183
229,PV22,2007JJ00,184
230,PV22,2008JJ00,185
231,PV22,2009JJ00,186
232,PV22,2010JJ00,186
233,PV22,2011JJ00,186
234,PV22,2012JJ00,186
235,PV22,2013JJ00,186
236,PV22,2014JJ00,186
237,PV22,2015JJ00,185
238,PV22,2016JJ00,185
239,PV22,2017JJ00,187
240,PV22,2018JJ00,187
241,PV22,2019JJ00,187
242,PV22,2020JJ00,188
