ID,Regions,Periods,Within10Km_72,Within20Km_73,Within50Km_74,Within10Km_75,Within20Km_76,Within50Km_77,Within10Km_78,Within20Km_79,Within50Km_80,Within10Km_81,Within20Km_82,Within50Km_83,Within10Km_84,Within20Km_85,Within50Km_86
90,PV20,2006JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
91,PV20,2007JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
92,PV20,2008JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
93,PV20,2009JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
94,PV20,2010JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
95,PV20,2011JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
96,PV20,2012JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
97,PV20,2013JJ00,56.9,111.5,344.1,0.1,0.5,2.4,6.3,15.1,53.6,25.0,47.9,143.4,25.4,48.1,144.7
98,PV20,2014JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
99,PV20,2015JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
100,PV20,2016JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
101,PV20,2017JJ00,65.2,124.7,377.8,0.1,0.6,2.8,5.8,14.3,52.0,29.9,55.5,162.1,27.9,51.9,153.3
102,PV20,2018JJ00,68.2,130.3,390.9,0.1,0.5,2.8,5.6,14.0,50.9,31.1,57.4,165.3,28.8,53.6,157.9
103,PV20,2019JJ00,69.5,132.8,395.5,0.1,0.6,3.0,5.9,14.4,52.5,30.7,56.9,164.8,30.5,56.5,162.9
104,PV20,2020JJ00,69.4,133.6,400.2,0.1,0.6,3.1,5.8,14.6,54.1,31.4,58.7,170.1,30.7,57.3,166.2
105,PV20,2021JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
106,PV20,2022JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
107,PV20,2023JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
108,PV21,2006JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
109,PV21,2007JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
110,PV21,2008JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
111,PV21,2009JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
112,PV21,2010JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
113,PV21,2011JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
114,PV21,2012JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
115,PV21,2013JJ00,22.4,58.2,316.8,0.1,0.6,3.5,3.1,9.0,49.3,9.6,24.7,135.6,9.6,24.0,128.4
116,PV21,2014JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117,PV21,2015JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
118,PV21,2016JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
119,PV21,2017JJ00,23.6,63.5,346.7,0.2,0.6,3.7,3.1,9.5,50.8,10.4,27.3,153.0,9.5,24.9,132.6
120,PV21,2018JJ00,24.6,64.6,355.9,0.2,0.7,3.8,3.2,9.5,50.5,10.9,28.1,156.7,9.5,24.1,132.1
121,PV21,2019JJ00,24.8,65.8,362.1,0.2,0.7,4.0,3.3,9.8,52.5,10.7,28.0,156.9,9.9,25.2,137.3
